iter	Passed	Remaining
0	0	72
1	1	69
2	1	64
3	2	57
4	3	57
5	3	57
6	4	56
7	4	56
8	5	53
9	6	54
10	6	54
11	7	53
12	7	53
13	8	53
14	9	52
15	9	52
16	10	51
17	11	51
18	11	50
19	12	50
20	13	49
21	13	49
22	14	47
23	14	47
24	15	46
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	43
31	19	42
32	20	41
33	21	41
34	21	40
35	22	39
36	22	39
37	23	38
38	24	37
39	25	37
40	25	36
41	26	36
42	26	35
43	27	35
44	28	34
45	28	33
46	29	33
47	29	32
48	30	31
49	31	31
50	31	30
51	32	30
52	33	29
53	33	28
54	34	28
55	34	27
56	35	26
57	35	25
58	36	25
59	37	24
60	37	24
61	38	23
62	38	22
63	39	22
64	40	21
65	40	20
66	41	20
67	41	19
68	42	19
69	43	18
70	43	17
71	44	17
72	45	16
73	45	16
74	46	15
75	46	14
76	47	14
77	48	13
78	48	12
79	49	12
80	49	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	8
87	54	7
88	54	6
89	55	6
90	55	5
91	56	4
92	57	4
93	57	3
94	58	3
95	58	2
96	59	1
97	60	1
98	60	0
99	61	0
